# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
364	-7.56193	0.00721383	9.40552	0.0394415
365	-7.56199	0.00719433	9.40502	0.0393366
366	-7.56227	0.00718004	9.40336	0.039264
367	-7.56241	0.00716192	9.40245	0.0391675
368	-7.56241	0.00714246	9.4024	0.0390611
369	-7.5622	0.0071261	9.40351	0.0389709
370	-7.56209	0.00710772	9.40406	0.0388695
371	-7.56184	0.00709283	9.4053	0.0387846
372	-7.56143	0.00708549	9.4075	0.0387427
373	-7.5609	0.00708671	9.41041	0.0387479
374	-7.56035	0.00708903	9.41339	0.0387588
375	-7.56001	0.00707811	9.41519	0.038697
376	-7.55946	0.00708101	9.41819	0.0387104
377	-7.55888	0.00708589	9.42126	0.0387296
378	-7.55847	0.00707863	9.42341	0.0386865
379	-7.55805	0.0070724	9.42572	0.0386532
380	-7.55752	0.00707354	9.42863	0.0386612
381	-7.55707	0.00706926	9.43107	0.0386367
382	-7.5567	0.00706083	9.43306	0.0385867
383	-7.55618	0.00706153	9.43584	0.0385856
384	-7.55586	0.00705004	9.43746	0.0385192
385	-7.55549	0.00704141	9.43938	0.0384669
386	-7.55516	0.00703095	9.44108	0.0384048
387	-7.55495	0.00701588	9.44211	0.0383193
388	-7.55498	0.00699786	9.4418	0.0382218
389	-7.55501	0.00697991	9.44157	0.0381242
390	-7.55487	0.00696342	9.44224	0.0380322
391	-7.55472	0.00694724	9.44297	0.0379421
392	-7.55459	0.00693073	9.44361	0.0378506
393	-7.5545	0.00691372	9.44394	0.0377558
394	-7.55438	0.00689717	9.4445	0.037664
395	-7.5543	0.00688014	9.44486	0.0375704
396	-7.55413	0.00686482	9.44577	0.0374866
397	-7.55413	0.00684753	9.44574	0.0373922
398	-7.55389	0.00683463	9.44718	0.0373258
399	-7.55359	0.00682399	9.44892	0.0372729
400	-7.55334	0.00681163	9.4504	0.0372092
401	-7.55287	0.00681049	9.45309	0.0372132
402	-7.55237	0.00681178	9.45595	0.0372302
403	-7.55192	0.00681019	9.45861	0.0372327
404	-7.55157	0.00680243	9.46063	0.0371955
405	-7.55151	0.00678586	9.46098	0.0371053
406	-7.55139	0.00677018	9.46172	0.0370212
407	-7.55138	0.00675355	9.46171	0.0369303
408	-7.55136	0.00673703	9.46169	0.0368398
409	-7.55143	0.00672095	9.46124	0.0367523
410	-7.5513	0.00670593	9.46195	0.0366695
411	-7.55119	0.00669046	9.4625	0.0365844
412	-7.55093	0.00667952	9.46399	0.0365256
413	-7.55082	0.00666421	9.4646	0.0364424
414	-7.55061	0.00665142	9.46575	0.0363724
415	-7.55049	0.00663652	9.46633	0.0362894
416	-7.55047	0.00662059	9.46636	0.0362021
417	-7.5506	0.006606	9.46554	0.0361246
418	-7.55077	0.00659246	9.46454	0.0360519
419	-7.55088	0.00657766	9.46387	0.0359722
420	-7.55105	0.00656419	9.46291	0.0358993
421	-7.5513	0.00655334	9.46146	0.0358433
422	-7.55155	0.0065425	9.46003	0.035787
423	-7.5516	0.00652725	9.45976	0.0357034
424	-7.55169	0.00651246	9.45929	0.0356224
425	-7.55182	0.00649833	9.45855	0.0355461
426	-7.55182	0.00648308	9.45847	0.0354628
427	-7.55206	0.00647226	9.45716	0.0354042
428	-7.55228	0.00646091	9.45602	0.0353397
429	-7.55245	0.00644793	9.45518	0.0352674
430	-7.5525	0.00643315	9.45487	0.0351868
