# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
208	-5.58421	0.0169228	1.42238	0.0890889
209	-5.58349	0.0168571	1.42666	0.0887675
210	-5.58276	0.0167925	1.43106	0.0884556
211	-5.58184	0.0167383	1.43463	0.0881104
212	-5.5811	0.0166758	1.44004	0.0878625
213	-5.58003	0.0166314	1.44464	0.0875724
214	-5.57916	0.0165764	1.44902	0.0872746
215	-5.57834	0.0165197	1.45424	0.0870263
216	-5.57737	0.0164718	1.45827	0.0867188
217	-5.57665	0.0164115	1.46065	0.0863535
218	-5.57636	0.0163389	1.4627	0.0859837
219	-5.57611	0.016266	1.46447	0.0856109
220	-5.57603	0.0161923	1.46521	0.0852268
221	-5.57618	0.0161197	1.46466	0.0848446
222	-5.57652	0.0160506	1.46496	0.0844647
223	-5.57671	0.0159798	1.46733	0.0841209
224	-5.57642	0.015911	1.46937	0.0837716
225	-5.5762	0.0158418	1.47206	0.0834441
226	-5.57581	0.0157765	1.47404	0.0831002
227	-5.57554	0.0157093	1.4766	0.0827752
228	-5.57523	0.0156435	1.47745	0.0824181
229	-5.57524	0.0155752	1.47955	0.0820863
230	-5.57503	0.0155089	1.48284	0.0817971
231	-5.57457	0.0154487	1.48375	0.0814496
232	-5.57456	0.0153821	1.4854	0.0811168
233	-5.57433	0.0153178	1.48722	0.0807904
234	-5.57411	0.0152538	1.48994	0.0804924
235	-5.57357	0.0151985	1.49157	0.0801678
236	-5.57333	0.015136	1.49257	0.0798358
237	-5.57312	0.0150736	1.49431	0.0795194
238	-5.57271	0.0150156	1.4968	0.0792256
239	-5.57221	0.0149613	1.49991	0.0789565
240	-5.57146	0.0149176	1.50122	0.0786397
241	-5.57123	0.0148575	1.50392	0.078361
242	-5.5706	0.0148095	1.50664	0.0780857
243	-5.56993	0.0147637	1.50922	0.0778083
244	-5.56933	0.0147154	1.51133	0.0775195
245	-5.56893	0.0146609	1.51165	0.077205
246	-5.56893	0.0146013	1.51483	0.076958
247	-5.56826	0.0145576	1.51709	0.0766809
248	-5.56771	0.0145091	1.51931	0.0764051
249	-5.56716	0.0144614	1.52298	0.0761873
250	-5.56625	0.014432	1.52729	0.0760059
251	-5.5652	0.0144129	1.52941	0.0757339
252	-5.5647	0.0143643	1.53064	0.0754445
253	-5.56445	0.0143098	1.53168	0.0751547
254	-5.5642	0.0142555	1.534	0.0748956
255	-5.56379	0.0142056	1.53536	0.0746155
256	-5.56357	0.0141519	1.5361	0.0743288
257	-5.56347	0.0140971	1.53444	0.0740592
258	-5.56399	0.0140519	1.53376	0.0737763
259	-5.56417	0.0139988	1.53298	0.0734967
260	-5.56442	0.0139472	1.5337	0.0732187
261	-5.56437	0.0138938	1.53551	0.0729614
262	-5.56411	0.0138432	1.53588	0.0726849
263	-5.56417	0.0137907	1.5363	0.0724109
264	-5.56428	0.0137389	1.5379	0.0721552
265	-5.56408	0.0136886	1.53989	0.0719113
266	-5.56379	0.0136402	1.54194	0.0716712
267	-5.56342	0.0135942	1.5459	0.0715129
268	-5.56263	0.0135663	1.54868	0.0713014
269	-5.5621	0.0135264	1.55062	0.0710635
270	-5.56172	0.0134816	1.55136	0.0708052
271	-5.5616	0.0134324	1.5505	0.0705501
272	-5.56187	0.0133858	1.54995	0.0702938
273	-5.56198	0.0133372	1.54962	0.070038
274	-5.56209	0.013289	1.54947	0.0697835
275	-5.56213	0.0132407	1.54922	0.0695311
276	-5.56222	0.013193	1.54956	0.0692809
277	-5.56209	0.013146	1.55119	0.069051
278	-5.56175	0.0131032	1.55297	0.0688265
279	-5.5613	0.0130641	1.55522	0.0686173
280	-5.56077	0.0130282	1.55743	0.0684089
281	-5.56025	0.0129919	1.55965	0.0682021
282	-5.55975	0.0129558	1.56206	0.0680037
283	-5.55919	0.0129218	1.56369	0.0677839
284	-5.5588	0.0128823	1.56537	0.0675667
285	-5.55848	0.012841	1.56689	0.0673476
