# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
165	-0.408568	0.00401421	0.0489657	0.000548694
166	-0.408425	0.00399257	0.0489902	0.000545938
167	-0.408167	0.00397699	0.0490419	0.000545112
168	-0.408444	0.00396292	0.0490503	0.000541931
169	-0.408468	0.00393954	0.0490753	0.000539303
170	-0.409002	0.00395246	0.049044	0.000537038
171	-0.409233	0.00393605	0.0490336	0.000533997
172	-0.408947	0.00392349	0.0489853	0.000533079
173	-0.408516	0.00392448	0.0489698	0.000530221
174	-0.408484	0.00390206	0.0489783	0.000527241
175	-0.408321	0.00388316	0.0488993	0.000530114
176	-0.408046	0.0038708	0.0489107	0.000527223
177	-0.407949	0.00385015	0.0488407	0.000528867
178	-0.408145	0.00383351	0.0487765	0.000529777
179	-0.407729	0.00383458	0.0488119	0.000528
180	-0.407478	0.00382152	0.048796	0.000525306
181	-0.40726	0.00380661	0.0487953	0.000522405
182	-0.406829	0.00381004	0.0488555	0.000522992
183	-0.40663	0.0037944	0.0489171	0.000523758
184	-0.406398	0.00378085	0.0489481	0.000521829
185	-0.406553	0.00376359	0.048943	0.000519033
186	-0.406669	0.00374512	0.0489052	0.000517616
187	-0.406912	0.00373299	0.0488533	0.000517448
188	-0.407619	0.00377942	0.0488321	0.00051513
189	-0.40796	0.00377483	0.0488075	0.000512992
190	-0.407952	0.00375497	0.048831	0.000510833
191	-0.407903	0.00373563	0.0488595	0.000508955
192	-0.408074	0.00372012	0.0488584	0.000506305
193	-0.408301	0.00370775	0.0489314	0.000508912
194	-0.408296	0.00368864	0.0489845	0.000509055
195	-0.408105	0.00367468	0.0490024	0.000506759
196	-0.407883	0.00366261	0.0490063	0.000504189
197	-0.407953	0.00364468	0.0489662	0.000503222
198	-0.408357	0.00364859	0.0489813	0.000500908
199	-0.40878	0.00365472	0.048973	0.00049846
200	-0.40903	0.00364501	0.0489967	0.000496529
201	-0.409229	0.00363231	0.0489274	0.000498869
202	-0.409487	0.00362344	0.0489045	0.000496924
203	-0.409629	0.00360838	0.048862	0.000496293
204	-0.409777	0.00359373	0.0488104	0.000496532
205	-0.409767	0.00357622	0.0487626	0.00049641
206	-0.409802	0.00355903	0.04872	0.000495823
207	-0.409838	0.00354201	0.0487348	0.000493647
208	-0.409948	0.00352671	0.0487359	0.000491275
209	-0.410261	0.00352371	0.0487148	0.000489377
210	-0.410403	0.00350977	0.0486997	0.000487281
211	-0.410608	0.00349912	0.0487612	0.000488838
212	-0.410677	0.0034833	0.0487282	0.000487644
213	-0.410927	0.00347586	0.0487261	0.000485359
214	-0.41107	0.00346258	0.0486845	0.00048487
215	-0.411248	0.00345104	0.0486241	0.000486367
216	-0.411627	0.00345583	0.0486164	0.000484176
217	-0.41193	0.00345312	0.0486246	0.000482015
218	-0.41207	0.00344014	0.0486746	0.000482386
219	-0.412269	0.00343018	0.0486884	0.000480383
220	-0.412563	0.00342718	0.048651	0.000479659
221	-0.412623	0.00341219	0.0486525	0.000477491
222	-0.412709	0.00339791	0.0487203	0.000480132
223	-0.412954	0.0033915	0.0486895	0.000478965
224	-0.41281	0.00337939	0.0486908	0.000476829
225	-0.412801	0.00336439	0.0487046	0.000474909
226	-0.412592	0.00335598	0.0487064	0.000472811
227	-0.412801	0.00334766	0.0486611	0.000472892
228	-0.413007	0.0033393	0.0486078	0.000473821
229	-0.413212	0.00333101	0.0486217	0.000471957
230	-0.413151	0.00331708	0.0485774	0.000471976
231	-0.413194	0.003303	0.048583	0.000469966
232	-0.413161	0.00328893	0.0486013	0.000468294
233	-0.412964	0.00328069	0.0485672	0.000467524
234	-0.413115	0.00327013	0.0485334	0.000466749
235	-0.41323	0.00325824	0.0485589	0.000465463
236	-0.413355	0.00324686	0.0485467	0.000463652
237	-0.413636	0.00324529	0.0485388	0.000461763
238	-0.413937	0.00324558	0.0485123	0.000460579
239	-0.414219	0.0032442	0.0485709	0.000462359
240	-0.414274	0.00323114	0.048611	0.000462168
241	-0.41415	0.00322011	0.0487577	0.000482977
242	-0.414027	0.00320914	0.0488195	0.000484916
243	-0.41409	0.00319655	0.0488256	0.000482959
244	-0.414223	0.00318619	0.0488789	0.000483913
245	-0.414012	0.00318012	0.0488877	0.000482017
246	-0.413942	0.00316798	0.048886	0.000480061
247	-0.413963	0.00315522	0.048899	0.000478293
248	-0.413991	0.00314262	0.0488632	0.000477709
249	-0.413713	0.00314226	0.0488284	0.000477052
250	-0.413796	0.00313078	0.0488065	0.000475647
251	-0.413705	0.00311963	0.0488014	0.00047378
252	-0.413402	0.00312185	0.0488275	0.000472619
253	-0.413193	0.00311656	0.0488113	0.000471027
254	-0.413301	0.00310616	0.0488085	0.000469181
255	-0.413166	0.00309688	0.048835	0.000468089
256	-0.413094	0.00308563	0.0488121	0.00046682
257	-0.413218	0.00307611	0.0487794	0.000466146
258	-0.413358	0.0030674	0.0487576	0.000464849
259	-0.413524	0.00306002	0.0487499	0.000463119
260	-0.413596	0.0030491	0.0487865	0.000462782
261	-0.41351	0.00303863	0.0487957	0.0004611
262	-0.41377	0.00303813	0.0487792	0.000459636
