#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         258   -0.464486   -0.462982 0.000349612
         259   -0.465218   -0.462991 0.000348368
         260   -0.463401   -0.462992 0.000347032
         261    -0.47303   -0.463031 0.000347827
         262   -0.451745   -0.462988 0.000349157
         263   -0.460993    -0.46298 0.000347911
         264   -0.465802   -0.462991 0.000346758
         265   -0.463381   -0.462992 0.000345452
         266    -0.46093   -0.462985 0.000344241
         267   -0.461089   -0.462978 0.000343025
         268   -0.457323   -0.462956 0.000342393
         269   -0.461674   -0.462952 0.000341153
         270   -0.462831   -0.462951  0.00033989
         271   -0.462357   -0.462949 0.000338643
         272   -0.463282    -0.46295   0.0003374
         273   -0.458274   -0.462933 0.000336599
         274   -0.463838   -0.462936 0.000335387
         275   -0.451052   -0.462893  0.00033694
         276   -0.470976   -0.462922 0.000336989
         277   -0.456858   -0.462901 0.000336483
         278    -0.46337   -0.462902 0.000335277
         279    -0.46515    -0.46291 0.000334172
         280   -0.461465   -0.462905 0.000333018
         281   -0.457438   -0.462886 0.000332401
         282   -0.460624   -0.462878 0.000331319
         283   -0.463099   -0.462878 0.000330149
         284   -0.460414    -0.46287 0.000329101
         285    -0.45864   -0.462855  0.00032828
         286   -0.469172   -0.462877 0.000327875
         287   -0.462854   -0.462877 0.000326732
         288   -0.471758   -0.462908  0.00032705
         289    -0.44421   -0.462843 0.000332256
         290   -0.470376   -0.462869 0.000332124
         291   -0.461619   -0.462865  0.00033101
         292   -0.461963   -0.462862 0.000329891
         293   -0.461503   -0.462857 0.000328798
         294   -0.459964   -0.462847 0.000327827
         295    -0.46567   -0.462857 0.000326855
         296   -0.466647    -0.46287 0.000326002
         297   -0.453337   -0.462837  0.00032648
         298   -0.464311   -0.462842 0.000325422
         299   -0.464952   -0.462849  0.00032441
         300   -0.456046   -0.462827 0.000324121
         301   -0.460326   -0.462819  0.00032315
         302   -0.463231    -0.46282 0.000322083
         303   -0.458289   -0.462805 0.000321367
         304   -0.459382   -0.462794 0.000320507
         305   -0.469668   -0.462816 0.000320248
         306   -0.471116   -0.462843 0.000320348
         307    -0.46623   -0.462854 0.000319494
         308   -0.462651   -0.462854 0.000318458
         309   -0.455189   -0.462829 0.000318392
         310    -0.46296   -0.462829 0.000317365
         311   -0.460727   -0.462823 0.000316416
         312    -0.47307   -0.462855 0.000317102
         313   -0.466562   -0.462867  0.00031631
