#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         238      1.4068     1.36353  0.00742295
         239     1.21956     1.36293   0.0074163
         240     1.31524     1.36273  0.00738806
         241     1.32848     1.36259  0.00735877
         242     1.32484     1.36243  0.00733001
         243     1.20096     1.36176   0.0073299
         244       1.294     1.36149  0.00730512
         245     1.63228     1.36259  0.00735845
         246     1.11084     1.36157  0.00739936
         247      1.2308     1.36104  0.00738832
         248     1.49664     1.36159  0.00737873
         249     1.35796     1.36157  0.00734911
         250     1.36988      1.3616  0.00731979
         251     1.55924     1.36239  0.00733285
         252     1.36612     1.36241  0.00730377
         253     1.31356     1.36221  0.00727745
         254     1.28752     1.36192  0.00725474
         255      1.2902     1.36164  0.00723174
         256     0.95196     1.36004  0.00737843
         257     1.30096     1.35981   0.0073533
         258     1.44676     1.36015  0.00733252
         259      1.5064     1.36071  0.00732592
         260     1.20764     1.36012  0.00732136
         261      1.5208     1.36074  0.00731915
         262     1.25788     1.36034  0.00730173
         263      1.2866     1.36006  0.00727935
         264     1.40916     1.36025  0.00725415
         265     1.51496     1.36083  0.00725023
         266     1.30768     1.36063  0.00722573
         267     1.43548     1.36091   0.0072041
         268     1.40664     1.36108  0.00717924
         269       1.327     1.36096  0.00715367
         270     1.51756     1.36154  0.00715065
         271       1.412     1.36172  0.00712669
         272     1.53284     1.36235   0.0071282
         273       1.288     1.36208  0.00710729
         274      1.5224     1.36267   0.0071054
         275     1.21052     1.36211  0.00710107
         276     1.38384     1.36219  0.00707577
         277     1.13612     1.36138  0.00709714
         278       1.316     1.36121  0.00707349
         279     1.34792     1.36116   0.0070483
         280     1.35524     1.36114  0.00702316
         281     1.17128     1.36047  0.00703059
         282     1.16768     1.35978  0.00703882
         283      1.5944     1.36061   0.0070626
         284     1.34064     1.36054  0.00703808
         285     1.23872     1.36012  0.00702635
         286     1.29324     1.35988  0.00700568
         287     1.49232     1.36034  0.00699645
         288     1.43864     1.36062  0.00697743
         289     1.37172     1.36065   0.0069534
         290        1.41     1.36082   0.0069315
         291     1.48424     1.36125  0.00692064
         292     1.42584     1.36147  0.00690048
         293     1.12588     1.36066  0.00692361
         294     1.48132     1.36108  0.00691221
         295     1.38332     1.36115  0.00688919
         296     1.50764     1.36165  0.00688367
         297     1.30172     1.36144  0.00686345
         298     1.27436     1.36115  0.00684664
         299     1.42328     1.36136  0.00682689
         300     1.18748     1.36078   0.0068287
         301     1.23684     1.36037  0.00681841
         302     1.29924     1.36017  0.00679884
         303     1.36524     1.36018  0.00677642
         304     1.47576     1.36056  0.00676479
         305     1.37604     1.36061   0.0067428
         306     1.51196     1.36111  0.00673888
         307     1.24224     1.36072  0.00672804
         308     1.34472     1.36067   0.0067064
         309     1.32904     1.36057  0.00668547
         310     1.28664     1.36033  0.00666816
         311     1.23948     1.35994  0.00665803
         312     1.54868     1.36054  0.00666412
         313     1.20292     1.36004  0.00666183
         314     1.29084     1.35982  0.00664425
         315     1.29116      1.3596  0.00662674
         316     1.52692     1.36013  0.00662689
         317     1.46052     1.36045  0.00661354
         318     1.42848     1.36066   0.0065962
         319     1.60108     1.36142  0.00661844
         320      1.5612     1.36204  0.00662714
         321     1.44608      1.3623  0.00661166
         322     1.38788     1.36238  0.00659161
         323      1.1858     1.36183  0.00659383
         324     1.39052     1.36192  0.00657408
         325     1.40312     1.36205  0.00655507
         326      1.4228     1.36224  0.00653761
         327     1.55332     1.36282  0.00654368
         328     1.50904     1.36327   0.0065389
         329      1.2968     1.36306  0.00652214
         330     1.23496     1.36268  0.00651392
         331       1.246     1.36232  0.00650377
         332     1.42236      1.3625   0.0064867
         333     1.26204      1.3622  0.00647423
         334     1.38188     1.36226  0.00645511
         335     1.30316     1.36209  0.00643825
         336     1.36776      1.3621  0.00641912
         337     1.35696     1.36209  0.00640009
         338     1.37296     1.36212  0.00638123
         339       1.511     1.36256   0.0063775
         340     1.44508      1.3628  0.00636336
         341      1.5104     1.36323  0.00635941
         342     1.39116     1.36332  0.00634133
         343     1.30372     1.36314  0.00632523
         344     1.46372     1.36343  0.00631359
         345     1.59408      1.3641  0.00633059
         346      1.4498     1.36435  0.00631714
         347     1.28888     1.36413  0.00630267
         348     1.53432     1.36462  0.00630351
         349     1.46008      1.3649  0.00629138
         350      1.7116     1.36589  0.00635091
         351     1.74912     1.36698  0.00642598
         352     1.33344     1.36688  0.00640843
         353     1.34724     1.36683  0.00639052
         354     1.38924     1.36689  0.00637278
         355     1.31048     1.36673  0.00635681
         356     1.37808     1.36676  0.00633903
         357     1.40504     1.36687  0.00632218
         358     1.15332     1.36627   0.0063326
         359     1.32032     1.36615  0.00631626
         360     1.16552     1.36559  0.00632325
         361     1.25916     1.36529   0.0063126
         362     1.35088     1.36525  0.00629529
         363     1.27288       1.365  0.00628309
         364     1.29024     1.36479  0.00626918
         365     1.30372     1.36463  0.00625424
         366     1.20248     1.36418  0.00625282
         367     1.21344     1.36377  0.00624926
         368      1.0994     1.36305  0.00627344
         369     1.54184     1.36354  0.00627512
         370     1.35256     1.36351  0.00625823
         371     1.43288      1.3637  0.00624415
         372     1.28788     1.36349  0.00623069
         373     1.51984     1.36391  0.00622807
         374     1.32668     1.36381  0.00621222
         375     1.25204     1.36351   0.0062028
         376     1.21436     1.36312  0.00619897
         377     1.41356     1.36325  0.00618397
         378       1.537     1.36371  0.00618467
         379     1.55492     1.36422   0.0061889
         380     1.41012     1.36434  0.00617379
         381     1.55272     1.36483  0.00617735
         382     1.09824     1.36413  0.00620048
         383     1.24892     1.36383  0.00619158
         384     1.32712     1.36374  0.00617619
         385     1.60508     1.36436  0.00619188
         386     1.25176     1.36407  0.00618271
         387     1.37436      1.3641  0.00616679
         388     1.41292     1.36422  0.00615218
         389     1.45304     1.36445   0.0061406
         390     1.64088     1.36516  0.00616563
         391     1.24208     1.36485  0.00615789
         392     1.45172     1.36507  0.00614617
         393     1.33088     1.36498  0.00613114
         394     1.24064     1.36467   0.0061237
         395     1.16788     1.36417  0.00612843
         396     1.45932     1.36441  0.00611766
         397      1.4012      1.3645  0.00610295
         398     1.34688     1.36446  0.00608778
         399     1.44372     1.36465  0.00607576
         400      1.2126     1.36427  0.00607245
         401     1.36608     1.36428  0.00605731
         402     1.51772     1.36466  0.00605426
         403     1.27276     1.36443  0.00604353
         404     1.39912     1.36452  0.00602918
         405     1.34112     1.36446  0.00601457
         406     1.26752     1.36422  0.00600449
         407     1.22252     1.36387  0.00599982
         408     1.51304     1.36424  0.00599625
         409      1.3578     1.36422  0.00598161
         410     1.32816     1.36414  0.00596766
         411      1.6754     1.36489  0.00600101
         412     1.13404     1.36433  0.00601254
         413     1.26132     1.36408  0.00600316
         414     1.38376     1.36413  0.00598884
         415      1.2628     1.36389  0.00597939
         416     1.32192     1.36379  0.00596587
         417     1.37244     1.36381   0.0059516
         418       1.049     1.36305  0.00598482
         419     1.44068     1.36324   0.0059734
         420      1.3184     1.36313  0.00596013
         421     1.13556     1.36259  0.00597044
         422     1.31856     1.36249   0.0059572
         423     1.32648      1.3624  0.00594373
         424     1.39976     1.36249  0.00593036
         425      1.1914     1.36209  0.00593006
         426     1.45748     1.36231  0.00592036
         427     1.25692     1.36206  0.00591164
         428     1.42972     1.36222  0.00589994
         429     1.32196     1.36213  0.00588693
         430     1.34252     1.36208  0.00587342
         431     1.28056     1.36189  0.00586284
         432     1.47768     1.36216  0.00585539
         433     1.23436     1.36187   0.0058493
         434     1.24916     1.36161  0.00584158
         435     1.46808     1.36185  0.00583328
         436      1.3692     1.36187  0.00581993
         437     1.51168     1.36221   0.0058167
         438     1.36024     1.36221  0.00580342
         439     1.31572      1.3621  0.00579116
         440     1.53416     1.36249  0.00579119
         441     1.57724     1.36298   0.0057985
         442     1.39524     1.36305  0.00578584
         443     1.43968     1.36323  0.00577536
         444     1.55472     1.36366  0.00577843
         445      1.3752     1.36368  0.00576551
         446      1.5248     1.36404  0.00576389
         447     1.31252     1.36393  0.00575214
         448     1.39196     1.36399  0.00573964
         449     1.38672     1.36404  0.00572708
         450     1.55836     1.36447  0.00573061
         451     1.34452     1.36443  0.00571808
         452     1.27972     1.36424   0.0057085
         453     1.49428     1.36453  0.00570311
         454     1.24936     1.36428  0.00569619
         455      1.3878     1.36433   0.0056839
         456     1.40592     1.36442  0.00567217
         457     1.32808     1.36434  0.00566032
         458     1.34312     1.36429  0.00564815
         459     1.47632     1.36454  0.00564111
         460     1.37716     1.36456  0.00562892
         461     1.24832     1.36431  0.00562235
         462     1.42956     1.36445  0.00561195
         463      1.1722     1.36404  0.00561517
         464     1.20344     1.36369  0.00561373
         465      1.3268     1.36361  0.00560222
         466     1.13492     1.36312  0.00561165
         467     1.30832       1.363  0.00560086
         468     1.29268     1.36285  0.00559091
         469     1.49776     1.36314  0.00558638
         470     1.38048     1.36318  0.00557462
         471     1.21932     1.36287  0.00557114
         472     1.51712      1.3632  0.00556892
         473     1.31824      1.3631  0.00555795
         474      1.5168     1.36343  0.00555568
         475     1.50108     1.36372  0.00555153
         476     1.48696     1.36398  0.00554591
         477     1.44896     1.36416  0.00553714
         478     1.33984      1.3641  0.00552579
         479     1.47776     1.36434  0.00551935
         480     1.50136     1.36463  0.00551522
         481     1.45192     1.36481  0.00550674
         482     1.45208     1.36499  0.00549829
         483     1.46772      1.3652  0.00549102
         484     1.34084     1.36515  0.00547991
         485     1.58848     1.36561  0.00548792
         486      1.3248     1.36553  0.00547727
         487      1.2558      1.3653  0.00547066
         488       1.531     1.36564  0.00546997
         489       1.476     1.36587  0.00546344
         490     1.34944     1.36584  0.00545239
         491     1.61872     1.36635  0.00546556
         492     1.39792     1.36641  0.00545483
         493      1.2342     1.36615  0.00545035
         494     1.29104     1.36599  0.00544144
         495     1.48228     1.36623  0.00543552
         496     1.46608     1.36643  0.00542828
         497      1.2862     1.36627  0.00541976
         498     1.32844     1.36619  0.00540941
         499     1.14736     1.36575  0.00541632
         500     1.42468     1.36587  0.00540677
