#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         279     0.01352   0.0279105  0.00128259
         280     0.02124   0.0278867  0.00127823
         281    -0.00808   0.0277587  0.00128008
         282      0.0112      0.0277  0.00127689
         283     0.03896   0.0277398  0.00127299
         284     0.03272   0.0277573  0.00126863
         285       0.064   0.0278845  0.00127054
         286     -0.0094   0.0277541  0.00127277
         287     0.07072   0.0279038  0.00127711
         288     0.03192   0.0279178  0.00127275
         289    -0.00148   0.0278161   0.0012724
         290      0.0068   0.0277436  0.00127008
         291     0.04096    0.027789  0.00126652
         292     0.03016   0.0277971  0.00126221
         293     0.01516    0.027754  0.00125864
         294      0.0262   0.0277487  0.00125437
         295     0.02348   0.0277342   0.0012502
         296    -0.01164   0.0276012  0.00125304
         297     0.02284   0.0275852  0.00124892
         298     0.01556   0.0275448  0.00124538
         299     -0.0084   0.0274246    0.001247
         300     0.03428   0.0274475  0.00124306
         301     0.03628   0.0274768  0.00123927
         302     0.05756   0.0275764  0.00123917
         303     0.02244   0.0275595  0.00123519
         304     0.06112   0.0276699  0.00123605
         305      0.0394   0.0277083   0.0012326
         306      0.0278   0.0277086  0.00122857
         307     0.02752    0.027708  0.00122457
         308     0.05256   0.0277887  0.00122325
         309     0.04344   0.0278394  0.00122034
         310       0.028   0.0278399   0.0012164
         311     0.02436   0.0278287  0.00121254
         312     0.04548   0.0278853  0.00120997
         313     0.01212   0.0278349  0.00120716
         314     0.00324   0.0277566  0.00120585
         315     0.01468    0.027715  0.00120274
         316     0.07268   0.0278573  0.00120732
         317     0.02852   0.0278594  0.00120351
         318     0.03448   0.0278803  0.00119991
         319      0.0642   0.0279941  0.00120153
         320     0.03096   0.0280034  0.00119782
         321     0.00104   0.0279194  0.00119703
         322     0.00772   0.0278566  0.00119495
         323     0.03964   0.0278931  0.00119181
         324     0.02476   0.0278835  0.00118817
         325     0.01496   0.0278437  0.00118518
         326     0.03384   0.0278621  0.00118169
         327     0.04012   0.0278996  0.00117867
         328     0.02368   0.0278867  0.00117514
         329     0.02864    0.027889  0.00117157
         330     0.03408   0.0279078  0.00116817
         331     0.02904   0.0279112  0.00116465
         332     0.02628   0.0279063  0.00116115
         333     0.02652   0.0279021  0.00115767
         334      0.0482   0.0279629   0.0011558
         335     0.01908   0.0279364  0.00115265
         336    -0.00776   0.0278301  0.00115411
         337     0.00096   0.0277504  0.00115344
         338     0.04792   0.0278101  0.00115157
         339     0.06196   0.0279108  0.00115257
         340       0.045   0.0279611  0.00115027
         341      0.0452   0.0280116  0.00114801
         342    -0.00804   0.0279062  0.00114948
         343     0.00716   0.0278457  0.00114772
         344     0.04516    0.027896  0.00114549
         345     0.04168    0.027936  0.00114286
         346     0.03468   0.0279555  0.00113973
         347     0.04872   0.0280153  0.00113801
         348      0.0032    0.027944  0.00113697
         349     0.07376   0.0280753  0.00114127
         350     0.02016   0.0280527  0.00113823
         351     0.02688   0.0280493  0.00113499
         352     0.06224   0.0281465  0.00113592
         353     0.01772   0.0281169  0.00113309
         354     0.03116   0.0281255  0.00112992
         355     0.00856   0.0280704  0.00112808
         356     0.01888   0.0280446   0.0011252
         357     0.01224   0.0280003  0.00112292
         358     0.02532   0.0279928  0.00111981
         359     0.03704   0.0280181  0.00111698
         360    -0.00648   0.0279222  0.00111798
         361      0.0258   0.0279163  0.00111489
         362      0.0248   0.0279077  0.00111185
         363     0.03472   0.0279265  0.00110894
         364     0.02984   0.0279318  0.00110591
         365     0.00732   0.0278753  0.00110432
         366     0.00848   0.0278223  0.00110257
         367     0.04528   0.0278699  0.00110059
         368     0.02148   0.0278525  0.00109774
         369     0.00296    0.027785  0.00109684
         370     0.01048   0.0277383  0.00109487
         371     0.02744   0.0277375  0.00109192
         372       0.049   0.0277946  0.00109048
         373     0.03616   0.0278171  0.00108779
         374     0.02628   0.0278129  0.00108488
         375     0.03796     0.02784  0.00108233
         376     0.03684   0.0278639  0.00107972
         377     0.02092   0.0278455  0.00107701
         378     0.02956   0.0278501  0.00107417
         379     0.00636   0.0277934  0.00107283
         380      0.0094   0.0277449   0.0010711
         381     0.01336   0.0277072  0.00106895
         382     0.01504    0.027674  0.00106667
         383       0.019   0.0276514  0.00106412
         384     0.01288   0.0276129  0.00106205
         385     0.01956    0.027592  0.00105949
         386     0.02888   0.0275953  0.00105675
         387     0.05796   0.0276738  0.00105693
         388     0.02716   0.0276725  0.00105421
         389      0.0744   0.0277926  0.00105832
         390     0.04152   0.0278278  0.00105619
         391       0.014   0.0277924  0.00105408
         392    -0.00756   0.0277022  0.00105525
         393    -0.03632   0.0275393  0.00106506
